游戏,饰品,价格,时间,状态
csgo,"=HYPERLINK(""https://buff.163.com/goods/776531?appid=730&game=csgo&classid=3608993077&instanceid=188530139&assetid=35210575533&contextid=2"", ""流浪者匕首（★） | 蓝钢 (久经沙场)"")",¥ 1824,2024-01-03 07:24:20,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/921562?appid=730&game=csgo&classid=5344447961&instanceid=480085569&assetid=34241145368&contextid=2"", ""M4A4 | 反冲精英 (崭新出厂)"")",¥ 1080,2023-10-26 16:13:30,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/921379?appid=730&game=csgo&classid=5189384637&instanceid=302028390&assetid=34167482473&contextid=2"", ""变革武器箱"")",¥ 7.19,2023-10-22 10:44:06,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/921379?appid=730&game=csgo&classid=5189384637&instanceid=302028390&assetid=34167482927&contextid=2"", ""变革武器箱"")",¥ 7.19,2023-10-22 10:43:38,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/35893?appid=730&game=csgo&classid=638240019&instanceid=0&assetid=32227719280&contextid=2"", ""“先锋大行动”武器箱"")",¥ 16.7,2023-08-09 12:04:10,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/886633?appid=730&game=csgo&classid=4722946534&instanceid=188530139&assetid=31894547330&contextid=2"", ""MAG-7 | 先见之明 (久经沙场)"")",¥ 0.39,2023-07-28 14:00:06,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/927319?appid=730&game=csgo&classid=5437834050&instanceid=188530139&assetid=31877281052&contextid=2"", ""XM1014 | 象形文字 (略有磨损)"")",¥ 0.3,2023-07-27 22:03:41,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/761329?appid=730&game=csgo&classid=4860226049&instanceid=188530139&assetid=31873139249&contextid=2"", ""AUG（纪念品） | 扫频仪 (久经沙场)"")",¥ 0.15,2023-07-27 18:27:46,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36518?appid=730&game=csgo&classid=310777246&instanceid=302028390&assetid=31868825826&contextid=2"", ""SG 553 | 浪花穿孔 (久经沙场)"")",¥ 0.08,2023-07-27 15:10:29,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/857546?appid=730&game=csgo&classid=5437832018&instanceid=188530139&assetid=31868699892&contextid=2"", ""SG 553 | 重金属摇滚 (久经沙场)"")",¥ 0.6,2023-07-27 15:04:18,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/886987?appid=730&game=csgo&classid=5437829778&instanceid=188530139&assetid=31868680486&contextid=2"", ""MAC-10 | 坐牢 (战痕累累)"")",¥ 0.3,2023-07-27 15:02:56,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40769?appid=730&game=csgo&classid=1440517566&instanceid=188530139&assetid=30416781663&contextid=2"", ""印花 | 雪莉"")",¥ 2.69,2023-05-19 21:18:10,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40769?appid=730&game=csgo&classid=1440517566&instanceid=188530139&assetid=30416106544&contextid=2"", ""印花 | 雪莉"")",¥ 2.69,2023-05-19 20:38:35,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40769?appid=730&game=csgo&classid=5338374228&instanceid=188530139&assetid=30416107785&contextid=2"", ""印花 | 雪莉"")",¥ 2.69,2023-05-19 20:38:11,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40769?appid=730&game=csgo&classid=1440517566&instanceid=188530139&assetid=30415979992&contextid=2"", ""印花 | 雪莉"")",¥ 2.69,2023-05-19 20:16:48,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30397404985&contextid=2"", ""印花 | 敬礼！"")",¥ 0.8,2023-05-18 19:13:49,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30397404995&contextid=2"", ""印花 | 敬礼！"")",¥ 0.8,2023-05-18 19:13:49,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30397405023&contextid=2"", ""印花 | 敬礼！"")",¥ 0.8,2023-05-18 19:13:49,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30397405007&contextid=2"", ""印花 | 敬礼！"")",¥ 0.8,2023-05-18 19:13:48,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30397405116&contextid=2"", ""印花 | 敬礼！"")",¥ 0.8,2023-05-18 19:13:48,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30397405130&contextid=2"", ""印花 | 敬礼！"")",¥ 0.8,2023-05-18 19:13:48,交易成功
