饰品,价格,磨损,时间
鲍伊猎刀|伽马多普勒（崭新出厂）,3150.0,0.022529017P4,2025-05-07 17:44:32
摩托手套（★）|碰！（略有磨损）,4368.0,0.13002637028694153,2025-05-06 10:19:10
蝴蝶刀（★）|人工染色（崭新出厂）,8980.0,0.01664431020617485,2025-03-25 00:17:11
爪子刀（★）|都市伪装（久经沙场）,4848.0,0.2128038853406906,2025-02-18 14:56:35
暗影双匕（★）自由之手（崭新出厂）,3.59,0.043407320976257324,2025-02-16 23:09:24
短剑（★）|渐变大理石（略有磨损）,3830.0,0.07983202487230301,2025-02-09 09:17:34
穿肠刀（★）|大马士革钢（略有磨损）,754.0,0.12356270849704742,2024-12-08 19:37:27
摩托手套（★）|血压（战痕累累）,722.0,0.6702160835266113,2024-11-21 07:02:44
运动手套（★）|夜行衣（略有磨损）,5135.0,0.14417946338653564,2024-11-11 13:10:10
爪子刀（★） 森林DDPAT（战痕累累）,3428.0,0.5251625776290894,2024-11-07 18:35:17
中队长鲁沙尔·勒库托|法国宪兵特勤队,100.5,,2024-09-16 01:21:25
求生匕首（★）|枯焦之色（略有磨损）,676.0,0.1266736388206482,2024-09-09 23:32:04
狩猎网格（战痕累累）,4030.0,0.6350501775741577,2024-08-31 20:20:57
鲍伊猎刀（★） |澄澈之水（崭新出厂）,1022.0,0.043226469308137894,2024-06-11 13:09:17
封装的涂鸦|八号球,0.4,,2024-04-07 01:34:28
M4A1消音型|女火神之炽焰（久经沙场）,183.0,0.25574609637260437,2024-03-15 21:03:14
手套（★）|枯墨绿色调（战痕累累）,314.0,0.4511788487434387,2024-02-28 09:01:24
系绳匕首（★）|都市伪装（久经沙场）,648.0,0.20347453653812408,2024-02-27 23:20:22
驾驶手套（★）|绯红列赞（久经沙场）,680.0,0.3556033670902252,2024-02-27 15:20:08
印花|PGL（闪耀）|2022年安特卫普锦,4.98,,2024-02-27 14:41:30
印花|PGL（闪耀）|2022年安特卫普锦,4.98,,2024-02-27 14:41:30
印花|PGL（闪耀）|2022年安特卫普锦,4.98,,2024-02-27 14:41:30
印花|PGL（闪耀）|2022年安特卫普锦,4.98,,2024-02-27 14:41:30
印花|PGL（闪耀）|2022年安特卫普锦,4.98,,2024-02-27 14:41:18
印花|PGL（闪耀）|2022年安特卫普锦,4.98,,2024-02-27 14:40:43
印花|PACAI,3.86,,2024-02-07 19:21:17
印花|PACAI,3.86,,2024-02-07 19:21:04
专业手套（★）|老虎精英（久经沙场）,2730.0,0.30690866708755493,2024-01-16 13:38:41
猎杀者匕首（★）|传说（崭新出厂）,2340.0,0.01858695223927498,2024-01-12 14:11:45
MAC-10|表面淬火（战痕累累）,466.0,0.8912174701690674,2023-12-13 08:01:18
印花|魔性探员老K,2.7,,2023-12-02 23:55:26
印花|魔性探员老K,2.7,,2023-12-02 23:55:26
印花|魔性探员老K,2.7,,2023-09-27 16:07:26
骷髅匕首（★）|夜色（久经沙场）,2739.0,0.248740553855896,2023-09-22 21:30:32
残酷的达里尔爵士（沉默）|专业人士,108.0,,2023-09-12 22:14:11
印花|魔性探员老K,2.75,,2023-09-07 21:06:09
格洛克18型|子弹皇后（略有磨损）,105.0,0.09093659371137619,2023-09-06 14:13:42
海军上尉里克索尔|海军水面战中心海豹,58.0,,2023-09-05 00:00:03
久经★ 运动手套（★）|猩红头巾(久经沙场）,2048.0,0.3539734184741974,2023-09-04 14:39:10
USP消音版|紫色DDPAT（崭新出厂）,108.0,0.04254808649420738,2023-09-03 19:47:17
沙漠之鹰|大佬龙（略有磨损）,100.0,0.10581804811954498,2023-09-03 17:39:58
MAG-7|SWAG-7（久经沙场）,1.78,0.36384183168411255,2023-08-01 00:58:33
SG553|锈蚀之刃（久经沙场）,0.48,0.7942479848861694,2023-07-27 20:24:00
AUG|扫频仪（久经沙场）,0.11,0.25815916061401367,2023-07-27 17:04:12
格洛克18型|一目了然（破损不堪）,7.8,0.431474894285202,2023-06-09 14:25:48
专业手套（★）|一线特工（久经沙场）,2676.0,0.3526237905025482,2023-05-28 00:13:29
印花|敬礼！,0.7,,2023-05-27 02:43:46
印花|敬礼！,0.7,,2023-05-27 02:43:46
印花|敬礼！,0.7,,2023-05-27 02:43:46
印花|火车离站（全息）,62.8,,2023-05-25 19:28:32
印花|火车离站（全息）,62.8,,2023-05-25 19:02:08
流浪者匕首（★）丨深红之网（久经沙场）,3445.0,0.2922832667827606,2023-05-25 01:54:01
印花|敬礼！,0.88,0.35726141929626465,2023-05-17 18:14:17
印花|敬礼！,0.88,,2023-05-06 14:00:13
封装的涂鸦|八号球,0.27,,2023-05-05 21:24:31
封装的涂鸦|八号球,0.27,,2023-05-05 21:24:31
